Timestamp,Exchange,Symbol,LTP,Open,High,Low,Close,Volume,VWAP,Best_Bid,Bid_Qty,Best_Ask,Ask_Qty,OI
2026-04-10T09:31:56.656,NF,BANKNIFTY28APR2654700PE,639.15,844.0,879.95,623.85,994.8,41010,694.47,636.35,30,639.7,60,51060
2026-04-10T09:32:00.206,NF,BANKNIFTY28APR2654700PE,636.15,844.0,879.95,623.85,994.8,41160,694.26,637.25,30,640.45,30,51060
2026-04-10T09:32:02.601,NF,BANKNIFTY28APR2654700PE,642.6,844.0,879.95,623.85,994.8,41220,694.18,640.4,30,643.05,120,51060
2026-04-10T09:32:03.802,NF,BANKNIFTY28APR2654700PE,643.25,844.0,879.95,623.85,994.8,41250,694.15,638.5,60,641.8,30,51060
2026-04-10T09:32:07.619,NF,BANKNIFTY28APR2654700PE,636.0,844.0,879.95,623.85,994.8,41280,694.1,635.0,30,637.55,30,51060
2026-04-10T09:32:11.419,NF,BANKNIFTY28APR2654700PE,634.35,844.0,879.95,623.85,994.8,41370,693.97,630.3,30,633.7,30,51060
2026-04-10T09:32:18.835,NF,BANKNIFTY28APR2654700PE,636.95,844.0,879.95,623.85,994.8,41460,693.85,633.45,30,637.1,60,51060
2026-04-10T09:32:21.248,NF,BANKNIFTY28APR2654700PE,633.75,844.0,879.95,623.85,994.8,41490,693.81,633.5,60,636.3,120,51060
2026-04-10T09:32:55.674,NF,BANKNIFTY28APR2654700PE,632.5,844.0,879.95,623.85,994.8,41700,693.5,629.35,30,632.8,30,51060
2026-04-10T09:33:05.705,NF,BANKNIFTY28APR2654700PE,630.9,844.0,879.95,623.85,994.8,41790,693.36,631.45,30,634.6,60,51060
2026-04-10T09:33:10.519,NF,BANKNIFTY28APR2654700PE,630.0,844.0,879.95,623.85,994.8,41820,693.32,629.3,30,632.75,30,51060
2026-04-10T09:33:21.770,NF,BANKNIFTY28APR2654700PE,628.45,844.0,879.95,623.85,994.8,41880,693.22,628.55,30,631.8,30,51060
2026-04-10T09:33:23.125,NF,BANKNIFTY28APR2654700PE,630.0,844.0,879.95,623.85,994.8,41910,693.18,629.1,210,632.25,30,51060
2026-04-10T09:33:46.557,NF,BANKNIFTY28APR2654700PE,638.0,844.0,879.95,623.85,994.8,42030,693.02,633.95,120,637.0,90,51060
2026-04-10T09:33:50.163,NF,BANKNIFTY28APR2654700PE,638.0,844.0,879.95,623.85,994.8,42060,692.98,635.05,210,637.7,30,51060
2026-04-10T09:33:55.571,NF,BANKNIFTY28APR2654700PE,635.45,844.0,879.95,623.85,994.8,42120,692.9,635.0,90,637.55,120,51060
2026-04-10T09:34:42.657,NF,BANKNIFTY28APR2654700PE,641.0,844.0,879.95,623.85,994.8,42150,692.86,640.8,180,642.9,150,50910
2026-04-10T09:34:54.866,NF,BANKNIFTY28APR2654700PE,645.65,844.0,879.95,623.85,994.8,42180,692.83,644.8,90,646.85,120,50910
2026-04-10T09:35:07.479,NF,BANKNIFTY28APR2654700PE,648.0,844.0,879.95,623.85,994.8,42210,692.8,646.35,90,648.55,120,50910
2026-04-10T09:35:14.894,NF,BANKNIFTY28APR2654700PE,641.25,844.0,879.95,623.85,994.8,42240,692.76,642.0,30,645.15,90,50910
2026-04-10T09:35:22.514,NF,BANKNIFTY28APR2654700PE,643.3,844.0,879.95,623.85,994.8,42270,692.73,642.1,30,644.4,30,50910
2026-04-10T09:35:24.911,NF,BANKNIFTY28APR2654700PE,645.0,844.0,879.95,623.85,994.8,42300,692.69,643.85,90,646.25,120,50910
2026-04-10T09:35:26.130,NF,BANKNIFTY28APR2654700PE,643.85,844.0,879.95,623.85,994.8,42360,692.62,645.75,210,648.85,30,50910
2026-04-10T09:35:29.930,NF,BANKNIFTY28APR2654700PE,650.0,844.0,879.95,623.85,994.8,42450,692.53,648.35,30,650.9,120,50910
2026-04-10T09:35:32.564,NF,BANKNIFTY28APR2654700PE,651.0,844.0,879.95,623.85,994.8,42480,692.5,651.5,90,654.35,30,50910
2026-04-10T09:35:47.563,NF,BANKNIFTY28APR2654700PE,661.0,844.0,879.95,623.85,994.8,42630,692.39,656.7,90,659.7,120,50910
2026-04-10T09:35:53.772,NF,BANKNIFTY28APR2654700PE,658.45,844.0,879.95,623.85,994.8,42660,692.36,655.05,60,658.3,120,50910
2026-04-10T09:35:55.166,NF,BANKNIFTY28APR2654700PE,655.7,844.0,879.95,623.85,994.8,42690,692.34,656.45,30,659.35,120,50910
2026-04-10T09:36:03.777,NF,BANKNIFTY28APR2654700PE,655.0,844.0,879.95,623.85,994.8,42900,692.16,652.6,120,655.8,120,50910
2026-04-10T09:36:05.173,NF,BANKNIFTY28APR2654700PE,655.75,844.0,879.95,623.85,994.8,42930,692.13,653.2,120,656.4,30,50910
2026-04-10T09:36:15.195,NF,BANKNIFTY28APR2654700PE,652.55,844.0,879.95,623.85,994.8,42960,692.1,652.35,120,655.5,60,50910
2026-04-10T09:36:53.451,NF,BANKNIFTY28APR2654700PE,657.0,844.0,879.95,623.85,994.8,42990,692.08,655.5,30,659.65,30,50910
2026-04-10T09:37:07.265,NF,BANKNIFTY28APR2654700PE,657.0,844.0,879.95,623.85,994.8,43020,692.05,656.25,120,660.7,30,50910
2026-04-10T09:37:16.079,NF,BANKNIFTY28APR2654700PE,654.05,844.0,879.95,623.85,994.8,44520,690.78,654.7,120,657.85,30,51030
2026-04-10T09:37:48.529,NF,BANKNIFTY28APR2654700PE,654.7,844.0,879.95,623.85,994.8,44610,690.7,653.05,300,655.4,30,51030
2026-04-10T09:38:03.362,NF,BANKNIFTY28APR2654700PE,652.7,844.0,879.95,623.85,994.8,44640,690.68,653.1,120,655.25,30,51030
2026-04-10T09:38:09.606,NF,BANKNIFTY28APR2654700PE,652.55,844.0,879.95,623.85,994.8,44670,690.65,648.65,120,651.75,30,51030
2026-04-10T09:38:10.969,NF,BANKNIFTY28APR2654700PE,653.0,844.0,879.95,623.85,994.8,44820,690.52,652.55,30,655.95,30,51030
2026-04-10T09:38:18.180,NF,BANKNIFTY28APR2654700PE,654.15,844.0,879.95,623.85,994.8,45030,690.35,654.55,60,657.9,60,51030
2026-04-10T09:38:41.711,NF,BANKNIFTY28APR2654700PE,656.2,844.0,879.95,623.85,994.8,45060,690.33,656.85,120,660.6,30,51030
2026-04-10T09:38:42.814,NF,BANKNIFTY28APR2654700PE,661.0,844.0,879.95,623.85,994.8,45090,690.31,659.9,120,664.05,90,51030
2026-04-10T09:38:56.451,NF,BANKNIFTY28APR2654700PE,652.25,844.0,879.95,623.85,994.8,45150,690.26,651.55,150,654.7,30,51030
2026-04-10T09:39:28.887,NF,BANKNIFTY28APR2654700PE,646.5,844.0,879.95,623.85,994.8,45180,690.23,642.8,30,647.1,60,51030
2026-04-10T09:39:31.288,NF,BANKNIFTY28APR2654700PE,646.45,844.0,879.95,623.85,994.8,45210,690.2,642.35,30,646.25,30,51030
2026-04-10T09:39:36.294,NF,BANKNIFTY28APR2654700PE,645.9,844.0,879.95,623.85,994.8,45240,690.17,642.65,30,646.05,60,51030
2026-04-10T09:39:38.913,NF,BANKNIFTY28APR2654700PE,642.95,844.0,879.95,623.85,994.8,45300,690.11,641.1,180,643.1,30,51030
2026-04-10T09:39:46.318,NF,BANKNIFTY28APR2654700PE,643.55,844.0,879.95,623.85,994.8,45330,690.08,643.9,120,646.6,30,51030
2026-04-10T09:39:58.937,NF,BANKNIFTY28APR2654700PE,646.9,844.0,879.95,623.85,994.8,45360,690.05,644.55,30,647.95,60,51030
2026-04-10T09:40:02.762,NF,BANKNIFTY28APR2654700PE,644.85,844.0,879.95,623.85,994.8,45390,690.02,645.2,30,648.4,60,51030
2026-04-10T09:40:06.359,NF,BANKNIFTY28APR2654700PE,642.95,844.0,879.95,623.85,994.8,45690,689.72,636.05,60,639.75,60,51030
2026-04-10T09:40:07.608,NF,BANKNIFTY28APR2654700PE,644.15,844.0,879.95,623.85,994.8,45720,689.69,640.95,30,644.15,240,51030
2026-04-10T09:40:43.840,NF,BANKNIFTY28APR2654700PE,640.2,844.0,879.95,623.85,994.8,45780,689.63,640.35,30,643.2,30,51030
2026-04-10T09:40:50.015,NF,BANKNIFTY28APR2654700PE,640.35,844.0,879.95,623.85,994.8,45810,689.59,641.85,30,644.75,30,50910
2026-04-10T09:40:51.010,NF,BANKNIFTY28APR2654700PE,648.25,844.0,879.95,623.85,994.8,45930,689.49,644.1,30,646.95,60,50910
2026-04-10T09:41:09.831,NF,BANKNIFTY28APR2654700PE,638.6,844.0,879.95,623.85,994.8,45990,689.42,638.1,90,640.35,30,50910
2026-04-10T09:41:11.050,NF,BANKNIFTY28APR2654700PE,636.05,844.0,879.95,623.85,994.8,46050,689.35,636.25,90,638.1,60,50910
2026-04-10T09:41:12.285,NF,BANKNIFTY28APR2654700PE,633.6,844.0,879.95,623.85,994.8,46170,689.21,633.95,30,636.0,120,50910
2026-04-10T09:41:21.058,NF,BANKNIFTY28APR2654700PE,637.0,844.0,879.95,623.85,994.8,46290,689.07,633.95,90,636.85,120,50910
2026-04-10T09:41:22.270,NF,BANKNIFTY28APR2654700PE,630.15,844.0,879.95,623.85,994.8,46890,688.35,637.45,90,639.9,120,50910
2026-04-10T09:41:33.484,NF,BANKNIFTY28APR2654700PE,648.0,844.0,879.95,623.85,994.8,46920,688.33,644.2,30,647.85,90,50910
2026-04-10T09:41:35.933,NF,BANKNIFTY28APR2654700PE,645.85,844.0,879.95,623.85,994.8,47070,688.19,646.5,90,648.9,120,50910
2026-04-10T09:41:37.087,NF,BANKNIFTY28APR2654700PE,640.7,844.0,879.95,623.85,994.8,47100,688.16,638.0,30,641.5,90,50910
2026-04-10T09:41:53.111,NF,BANKNIFTY28APR2654700PE,640.7,844.0,879.95,623.85,994.8,47130,688.13,641.15,30,643.85,120,50910
2026-04-10T09:42:05.317,NF,BANKNIFTY28APR2654700PE,639.3,844.0,879.95,623.85,994.8,47160,688.1,635.95,60,637.95,30,50910
2026-04-10T09:42:21.355,NF,BANKNIFTY28APR2654700PE,635.3,844.0,879.95,623.85,994.8,47190,688.07,632.75,120,635.0,30,50910
2026-04-10T09:42:58.208,NF,BANKNIFTY28APR2654700PE,631.6,844.0,879.95,623.85,994.8,47340,687.89,629.9,120,632.85,60,50910
2026-04-10T09:43:02.000,NF,BANKNIFTY28APR2654700PE,623.9,844.0,879.95,623.25,994.8,47550,687.61,624.1,180,627.0,60,50910
