Timestamp,Exchange,Symbol,LTP,Open,High,Low,Close,Volume,VWAP,Best_Bid,Bid_Qty,Best_Ask,Ask_Qty,OI
2026-04-13T04:24:31.907,NF,NIFTY21APR2625100CE,22.0,25.0,25.0,14.8,18.7,1573195,18.62,20.8,1430,22.0,195,264160
2026-04-13T09:15:01.035,NF,NIFTY21APR2625100CE,22.0,22.0,22.0,22.0,20.45,65,22.0,10.0,390,34.0,65,264030
2026-04-13T09:15:02.600,NF,NIFTY21APR2625100CE,8.3,22.0,22.0,8.25,20.45,715,10.46,8.3,65,9.0,130,264030
2026-04-13T09:15:04.411,NF,NIFTY21APR2625100CE,7.7,22.0,22.0,7.7,20.45,2535,8.84,7.75,130,10.05,260,264030
2026-04-13T09:15:06.054,NF,NIFTY21APR2625100CE,8.15,22.0,22.0,7.7,20.45,4550,8.68,8.05,65,8.5,65,264030
2026-04-13T09:15:07.601,NF,NIFTY21APR2625100CE,8.15,22.0,22.0,7.7,20.45,5980,8.73,7.75,260,8.85,260,264030
2026-04-13T09:15:09.207,NF,NIFTY21APR2625100CE,8.6,22.0,22.0,7.7,20.45,7280,8.59,7.8,130,8.6,260,264030
2026-04-13T09:15:11.006,NF,NIFTY21APR2625100CE,8.35,22.0,22.0,6.95,20.45,9815,8.42,7.1,65,8.35,65,264030
2026-04-13T09:15:12.610,NF,NIFTY21APR2625100CE,8.1,22.0,22.0,6.65,20.45,15210,8.32,8.1,130,8.4,1040,264030
2026-04-13T09:15:14.215,NF,NIFTY21APR2625100CE,7.9,22.0,22.0,6.65,20.45,15795,8.31,7.9,130,8.35,195,264030
2026-04-13T09:15:15.833,NF,NIFTY21APR2625100CE,8.0,22.0,22.0,6.65,20.45,17030,8.29,7.8,520,8.35,65,264030
2026-04-13T09:15:17.419,NF,NIFTY21APR2625100CE,8.1,22.0,22.0,6.65,20.45,17875,8.28,7.8,260,8.25,910,264030
2026-04-13T09:15:19.022,NF,NIFTY21APR2625100CE,7.7,22.0,22.0,6.65,20.45,19695,8.22,7.7,325,7.85,130,264030
2026-04-13T09:15:20.631,NF,NIFTY21APR2625100CE,7.95,22.0,22.0,6.65,20.45,25220,8.1,7.85,130,7.95,65,264030
2026-04-13T09:15:22.225,NF,NIFTY21APR2625100CE,7.65,22.0,22.0,6.65,20.45,26780,8.08,7.65,260,7.8,260,264030
2026-04-13T09:15:23.841,NF,NIFTY21APR2625100CE,7.5,22.0,22.0,6.65,20.45,27820,8.06,7.5,130,7.85,260,264030
2026-04-13T09:15:25.441,NF,NIFTY21APR2625100CE,7.35,22.0,22.0,6.65,20.45,28405,8.05,7.35,325,7.55,390,264030
2026-04-13T09:15:27.061,NF,NIFTY21APR2625100CE,7.35,22.0,22.0,6.65,20.45,28535,8.04,7.4,195,7.55,130,264030
2026-04-13T09:15:28.662,NF,NIFTY21APR2625100CE,7.25,22.0,22.0,6.65,20.45,36010,7.87,7.15,1430,7.25,130,264030
2026-04-13T09:15:30.245,NF,NIFTY21APR2625100CE,7.3,22.0,22.0,6.65,20.45,36790,7.86,7.3,260,7.4,65,264030
2026-04-13T09:15:31.842,NF,NIFTY21APR2625100CE,7.35,22.0,22.0,6.65,20.45,36985,7.85,7.4,65,7.45,195,264030
2026-04-13T09:15:33.478,NF,NIFTY21APR2625100CE,7.85,22.0,22.0,6.65,20.45,41470,7.86,7.7,260,7.9,260,264030
2026-04-13T09:15:36.859,NF,NIFTY21APR2625100CE,7.95,22.0,22.0,6.65,20.45,43485,7.86,8.0,130,8.25,650,264030
